dw,elw1,elw2,n,m,name
1.13213565347813,1.17426328815914,1.17419450684857,109,16,ARG
1.12121990356736,0.876384559243075,0.856221690428098,241,26,AUS
1.01781484234325,1.32728235213173,1.33681641404575,130,18,AUT
0.750525336972705,0.893276083051136,0.946703979819239,102,16,BEL
1.02284026654073,1.05755914586866,1.06211684844947,101,15,BGR
1.41942237953135,1.49041397327248,1.491886112011,97,15,BRA
1.13056355391062,1.12016492739747,1.11937140159502,238,26,CAN
0.99509553079812,1.30601936179466,1.30518725432295,161,21,CHE
1.12689306544946,1.26687090880887,1.27837509183491,69,12,CHL
1.02360595718179,1.52329803643689,1.42169913456328,61,11,COL
0.968273437423491,1.47521495085562,1.49797759021061,117,17,CRI
1.47430488085765,1.46614457494275,1.47760109954008,98,15,CZE
0.959762513728729,1.33753892177304,1.30487132456183,118,17,DEU
1.01975991378225,0.804370933608583,0.990009992510909,101,15,DNK
0.862968729542149,0.869507526369111,0.928941214042443,102,16,EA19
0.879211527187882,0.889133170226572,0.871010879898062,102,16,ESP
1.07080093914128,1.42597108161464,1.3970278040329,101,15,EST
0.850369599627349,0.93059994469408,1.00871600860658,102,16,EU27_2020
0.801351306016942,1.27057584916285,1.27888284180962,121,17,FIN
1.02041095202434,1.06294304880688,1.04532957928517,242,26,FRA
1.09870738199606,1.56786492265446,1.51932534545829,88,14,G_20
1.11397521041342,1.22339096344713,1.22949448496957,233,26,G_7
0.942357500250768,0.749701448837646,0.687993002026942,261,28,GBR
1.16352436286624,1.66685227318897,1.664230331775,101,15,GRC
1.32462738916895,1.37094658990916,1.37128439375901,101,15,HUN
0.943557941728291,1.25431699199184,1.27728710044763,122,17,IDN
1.05168130911912,1.26417799028643,1.2639610859753,36,8,IND
0.929193171959697,1.20065961063876,1.21527224125539,93,15,IRL
1.05325729490691,1.07398705962417,1.06824751979249,101,15,ISL
1.0312538034115,1.19462036612182,1.20741436572667,101,15,ISR
1.00265348689887,1.06449998879031,0.97695192642019,158,20,ITA
0.995009392955615,0.98195536128965,1.07470528700855,105,16,JPN
1.04174677918779,1.1145187683134,1.15806832545907,242,26,KOR
1.05850968720435,1.48119162106859,1.47815552460173,101,15,LTU
1.07956304083249,0.9609751523664,0.974154556371702,101,15,LUX
1.26555931245844,1.73921690879986,1.71086045421161,101,15,LVA
0.639224577230193,0.577087719147278,0.570328890136952,110,16,MEX
1.1877142535391,1.40717502691398,1.41880731528349,129,18,NLD
0.958400921659293,0.862016172545374,0.821140662921257,169,21,NOR
1.16688456520108,1.07220253741323,1.04683294857846,129,18,NZL
1.16870604188693,1.18979055076167,1.19019824776138,233,26,OECD
0.886883947335083,0.944557215583364,1.03957387920966,101,15,OECDE
0.963766959758021,1.06888025439261,1.12671652666898,101,15,POL
1.01057525307871,1.11462497700018,1.11567617002362,102,16,PRT
1.16472464138994,1.40803936596077,1.4240664561892,101,15,ROU
1.13119464787883,1.46019569303946,1.45103534576965,69,12,RUS
1.18884061028156,1.50441258385723,1.53453335254021,100,15,SAU
1.23348912012582,1.36276227007835,1.33852487965615,93,15,SVK
1.34249650276626,1.23817833054623,1.23467233466945,101,15,SVN
0.985176087325649,0.929813787541274,0.895111993858349,241,26,SWE
1.12258015352758,1.09618317798777,1.01213683012705,89,14,TUR
2.99993757705334,2.99993757705334,2.99993757705334,294,30,USA
1.14542828804074,1.19214262969585,1.18946119992278,241,26,ZAF
